time,open,high,low,close,volume
2022-03-23 11:45:00,196.19,197.67,195.82,196.59,94843.0
2022-03-23 12:00:00,196.51,197.28,195.02,196.3024,117452.0
2022-03-23 12:15:00,196.37,197.48,194.71,195.84,91300.0
2022-03-23 12:30:00,195.99,197.92,195.99,196.64,73925.0
2022-03-23 12:45:00,196.83,197.1925,194.73,194.9,46231.0
2022-03-23 13:00:00,195.0,196.515,194.1299,196.22,41783.0
2022-03-23 13:15:00,196.22,196.44,194.91,196.0997,40470.0
2022-03-23 13:30:00,196.09,196.24,193.07,193.45,73530.0
2022-03-23 13:45:00,193.2,194.15,192.48,192.6,43663.0
2022-03-23 14:00:00,192.31,193.533,192.01,193.3,38608.0
2022-03-23 14:15:00,193.06,193.17,190.67,190.9,54111.0
2022-03-23 14:30:00,190.83,191.83,190.81,191.035,30425.0
2022-03-23 14:45:00,191.205,191.6,190.52,191.46,31684.0
2022-03-23 15:00:00,191.46,192.7304,190.6,190.78,55615.0
2022-03-23 15:15:00,190.74,191.615,190.35,190.51,35734.0
2022-03-23 15:30:00,190.53,191.0599,189.87,190.85,41023.0
2022-03-23 15:45:00,190.78,191.81,190.77,191.71,56184.0
2022-03-23 16:00:00,191.745,192.31,190.0176,190.25,159350.0
2022-03-23 16:15:00,190.19,190.25,190.19,190.2,17227.0
2022-03-23 16:30:00,190.19,190.19,190.19,190.19,150.0
2022-03-23 16:45:00,190.19,190.19,190.19,190.19,2594.0
2022-03-23 17:00:00,190.19,190.27,190.19,190.27,354.0
2022-03-23 17:15:00,190.26,190.26,190.26,190.26,280.0
2022-03-23 17:30:00,190.25,190.25,190.25,190.25,220.0
2022-03-23 18:00:00,190.19,190.19,190.19,190.19,100.0
2022-03-23 19:00:00,190.91,190.91,190.91,190.91,1000.0
2022-03-23 19:15:00,190.5,190.5,190.5,190.5,100.0
2022-03-23 19:30:00,190.58,190.58,190.58,190.58,135.0
2022-03-24 04:15:00,190.19,190.19,190.19,190.19,211.0
2022-03-24 07:30:00,192.51,192.51,192.5,192.5,308.0
2022-03-24 08:15:00,191.0,192.11,191.0,192.1,1074.0
2022-03-24 08:30:00,191.5,192.5,191.5,192.5,570.0
2022-03-24 08:45:00,191.8,192.3,191.78,192.0,3354.0
2022-03-24 09:00:00,192.2,192.2,192.2,192.2,120.0
2022-03-24 09:15:00,192.2,193.6672,192.2,192.5,2669.0
2022-03-24 09:30:00,193.75,193.75,191.2,191.2,5622.0
2022-03-24 09:45:00,191.24,195.83,191.23,195.535,150632.0
2022-03-24 10:00:00,195.25,195.71,191.24,192.955,157509.0
2022-03-24 10:15:00,192.99,195.665,192.14,192.28,119639.0
2022-03-24 10:30:00,192.02,192.21,189.5,189.93,98761.0
2022-03-24 10:45:00,189.62,192.165,189.33,191.1,72321.0
2022-03-24 11:00:00,191.15,192.95,191.13,192.21,53438.0
2022-03-24 11:15:00,192.19,193.585,191.89,192.75,49441.0
2022-03-24 11:30:00,192.5,193.19,191.99,192.96,37749.0
2022-03-24 11:45:00,193.0,194.1784,192.53,194.14,97923.0
2022-03-24 12:00:00,194.14,194.96,192.57,193.77,69104.0
2022-03-24 12:15:00,193.71,194.05,192.2338,194.0451,47224.0
2022-03-24 12:30:00,194.08,194.865,193.53,193.87,62256.0
2022-03-24 12:45:00,193.89,194.39,193.34,194.2245,38550.0
2022-03-24 13:00:00,194.16,194.43,193.615,194.29,31972.0
2022-03-24 13:15:00,194.18,194.73,193.96,194.4477,41509.0
2022-03-24 13:30:00,194.72,195.3,194.66,195.0999,36888.0
2022-03-24 13:45:00,195.105,195.6,194.53,195.42,50035.0
2022-03-24 14:00:00,195.21,195.65,195.03,195.38,28844.0
2022-03-24 14:15:00,195.54,196.28,194.67,194.99,50247.0
2022-03-24 14:30:00,195.03,195.2,194.255,195.2,28128.0
2022-03-24 14:45:00,195.07,195.8076,194.75,195.27,51476.0
2022-03-24 15:00:00,195.38,195.9,194.9,195.71,59634.0
2022-03-24 15:15:00,195.795,196.0,195.18,195.65,56732.0
2022-03-24 15:30:00,195.57,196.89,195.2885,195.95,52362.0
2022-03-24 15:45:00,196.08,197.14,196.08,197.0,76475.0
2022-03-24 16:00:00,196.96,197.86,196.71,197.85,204904.0
2022-03-24 16:15:00,197.84,197.84,197.8233,197.8233,14479.0
